video,condition,true_val,blockiness,zero_dct_ratio,grid_std,brisque
000023.mp4,h264_crf38,38,0.149337,0.735292,1.379761,57.197
000023.mp4,h264_crf43,43,0.187988,0.742028,1.267881,55.9821
000023.mp4,jpeg_q30,30,0.32046,0.938277,0.869179,57.9938
000023.mp4,jpeg_q90,90,0.154092,0.842654,1.238103,55.6852
000024.mp4,clean,0,0.135946,0.706413,1.619129,52.4201
000024.mp4,h264_crf18,18,0.146504,0.647979,1.622604,48.4675
000024.mp4,h264_crf23,23,0.151897,0.693459,1.650057,51.8859
000024.mp4,h264_crf28,28,0.144689,0.716578,1.642617,52.027
000024.mp4,h264_crf33,33,0.155607,0.723992,1.667303,52.4933
000024.mp4,h264_crf38,38,0.16752,0.735312,1.532876,55.4909
000024.mp4,h264_crf43,43,0.219309,0.749741,1.281962,56.3967
000024.mp4,jpeg_q30,30,0.318041,0.938616,1.157717,54.7482
000024.mp4,jpeg_q90,90,0.156129,0.842395,1.514557,54.1979
000025.mp4,clean,0,0.142799,0.722995,1.474021,55.4269
000025.mp4,h264_crf18,18,0.143095,0.690768,1.487163,54.4943
000025.mp4,h264_crf23,23,0.138333,0.730827,1.525374,55.0915
000025.mp4,h264_crf28,28,0.142453,0.751156,1.554569,57.7145
000025.mp4,h264_crf33,33,0.148054,0.757812,1.595292,61.9909
000025.mp4,h264_crf38,38,0.161502,0.750379,1.49431,58.7526
000025.mp4,h264_crf43,43,0.192691,0.744141,1.590496,54.9494
000025.mp4,jpeg_q30,30,0.320999,0.938776,1.17596,56.8947
000025.mp4,jpeg_q60,60,0.231107,0.921496,1.217193,57.0207
000025.mp4,jpeg_q90,90,0.159494,0.849191,1.405492,55.133
000026.mp4,clean,0,0.139113,0.713449,1.562652,54.1574
000026.mp4,h264_crf18,18,0.140817,0.691008,1.5051,52.1984
000026.mp4,h264_crf23,23,0.139185,0.718072,1.551073,55.403
000026.mp4,h264_crf28,28,0.144393,0.727778,1.602386,55.6979
000026.mp4,h264_crf33,33,0.163095,0.740254,1.454559,54.3195
000026.mp4,h264_crf38,38,0.162834,0.760702,1.212084,53.7414
000026.mp4,h264_crf43,43,0.203521,0.758789,1.169432,52.4055
000026.mp4,jpeg_q30,30,0.318266,0.94047,1.178922,56.8576
000026.mp4,jpeg_q60,60,0.231319,0.92044,1.33407,56.799
000026.mp4,jpeg_q90,90,0.157929,0.845942,1.462552,55.5085
000027.mp4,clean,0,0.132702,0.731146,1.438456,57.9011
000027.mp4,h264_crf18,18,0.142835,0.69316,1.531203,54.9577
000027.mp4,h264_crf23,23,0.138689,0.731944,1.498743,55.1125
000027.mp4,h264_crf28,28,0.142535,0.750698,1.56396,57.7516
000027.mp4,h264_crf33,33,0.148988,0.75572,1.593484,61.7145
000027.mp4,h264_crf38,38,0.163471,0.751495,1.490682,58.8503
000027.mp4,h264_crf43,43,0.191244,0.742546,1.550247,54.6354
000027.mp4,jpeg_q30,30,0.31695,0.939912,1.246919,59.3273
000027.mp4,jpeg_q60,60,0.225866,0.921516,1.250115,58.6179
000027.mp4,jpeg_q90,90,0.153469,0.850646,1.321342,58.4221
000028.mp4,clean,0,0.134271,0.706294,1.719683,49.6354
000028.mp4,h264_crf18,18,0.147641,0.663724,1.607359,47.363
000028.mp4,h264_crf23,23,0.144048,0.701032,1.665017,51.071
000028.mp4,h264_crf28,28,0.149325,0.714066,1.554854,51.3932
000028.mp4,h264_crf33,33,0.141855,0.738182,1.417582,57.3093
000028.mp4,h264_crf38,38,0.148825,0.741091,1.499938,54.8893
000028.mp4,h264_crf43,43,0.191014,0.74424,1.383165,53.925
000028.mp4,jpeg_q30,30,0.302513,0.93758,1.283466,52.7766
000028.mp4,jpeg_q60,60,0.220939,0.916175,1.514931,52.1584
000028.mp4,jpeg_q90,90,0.154102,0.840083,1.589132,49.9406
000029.mp4,clean,0,0.136892,0.699837,1.417816,51.7267
000029.mp4,h264_crf18,18,0.139375,0.675781,1.454692,50.0007
000029.mp4,h264_crf23,23,0.139061,0.707988,1.420992,51.3
000029.mp4,h264_crf28,28,0.140712,0.716777,1.392556,53.0392
000029.mp4,h264_crf33,33,0.140952,0.734674,1.385269,56.8898
000029.mp4,h264_crf38,38,0.150815,0.73874,1.274321,58.1882
000029.mp4,h264_crf43,43,0.186122,0.743563,1.375313,56.8664
000029.mp4,jpeg_q30,30,0.31402,0.938756,1.209772,53.4738
000029.mp4,jpeg_q90,90,0.156373,0.841857,1.343413,53.8498
000030.mp4,clean,0,0.142884,0.717634,1.607402,50.2326
000030.mp4,h264_crf18,18,0.151366,0.65328,1.67605,45.925
000030.mp4,h264_crf23,23,0.152321,0.686842,1.656851,48.7097
000030.mp4,h264_crf28,28,0.154077,0.703205,1.533554,52.0217
000030.mp4,h264_crf33,33,0.151259,0.717754,1.525103,54.8044
000030.mp4,h264_crf38,38,0.151611,0.732721,1.421525,54.4528
000030.mp4,h264_crf43,43,0.179594,0.744539,1.374729,57.467
000030.mp4,jpeg_q30,30,0.331872,0.938955,1.162898,51.3952
000030.mp4,jpeg_q60,60,0.231583,0.918108,1.407831,50.8425
000030.mp4,jpeg_q90,90,0.16343,0.846241,1.480106,50.2849
000031.mp4,clean,0,0.136221,0.705596,1.431339,52.405
000031.mp4,h264_crf18,18,0.138843,0.676818,1.436195,49.6437
000031.mp4,h264_crf23,23,0.140417,0.704759,1.407515,51.3625
000031.mp4,h264_crf28,28,0.141584,0.716837,1.327538,51.3215
000031.mp4,h264_crf33,33,0.13994,0.736308,1.480788,57.9738
000031.mp4,h264_crf38,38,0.149401,0.736169,1.357426,57.6066
000031.mp4,h264_crf43,43,0.184157,0.740733,1.39146,56.9675
000031.mp4,jpeg_q30,30,0.31799,0.938337,1.151122,54.8669
000031.mp4,jpeg_q60,60,0.222579,0.918347,1.210834,54.2624
000031.mp4,jpeg_q90,90,0.156468,0.842156,1.381425,53.3869
000032.mp4,clean,0,0.136154,0.71604,1.346519,54.027
000032.mp4,h264_crf18,18,0.14662,0.661711,1.370768,50.2433
000032.mp4,h264_crf23,23,0.145161,0.69898,1.352643,53.1335
000032.mp4,h264_crf28,28,0.149701,0.713668,1.426755,53.2658
000032.mp4,h264_crf33,33,0.146742,0.725407,1.455193,53.6301
000032.mp4,h264_crf38,38,0.157643,0.730947,1.305192,52.8581
000032.mp4,h264_crf43,43,0.202018,0.750797,1.163132,55.7199
000032.mp4,jpeg_q30,30,0.306865,0.938158,1.122078,55.8068
000032.mp4,jpeg_q60,60,0.223544,0.919503,1.143492,55.9533
000032.mp4,jpeg_q90,90,0.155959,0.846102,1.232373,54.8303
000033.mp4,clean,0,0.139986,0.714704,1.443204,51.0544
000033.mp4,h264_crf18,18,0.150026,0.688536,1.46657,47.4724
000033.mp4,h264_crf23,23,0.144855,0.71867,1.410021,50.7507
000033.mp4,h264_crf28,28,0.137701,0.746612,1.322715,53.653
000033.mp4,h264_crf33,33,0.150165,0.762895,1.319203,56.9816
000033.mp4,h264_crf38,38,0.171057,0.763871,1.18449,56.3815
000033.mp4,h264_crf43,43,0.211527,0.770906,1.418803,53.9103
000033.mp4,jpeg_q30,30,0.32745,0.939792,1.074784,56.3327
000033.mp4,jpeg_q60,60,0.231527,0.921576,1.239733,52.0451
000033.mp4,jpeg_q90,90,0.159658,0.848653,1.382961,52.0837
000034.mp4,clean,0,0.136715,0.711735,1.387299,53.4113
000034.mp4,h264_crf18,18,0.147866,0.707231,1.381384,54.2643
000034.mp4,h264_crf23,23,0.138347,0.733359,1.343673,55.1506
000034.mp4,h264_crf28,28,0.142238,0.746871,1.282077,57.5676
000034.mp4,h264_crf33,33,0.147895,0.751236,1.266553,55.8771
000034.mp4,h264_crf38,38,0.164119,0.749382,1.195201,54.1901
000034.mp4,h264_crf43,43,0.203833,0.756716,1.174031,55.8796
000034.mp4,jpeg_q30,30,0.309577,0.938995,1.036209,56.8688
000034.mp4,jpeg_q60,60,0.22471,0.920081,1.246915,56.7429
000034.mp4,jpeg_q90,90,0.153915,0.844906,1.380092,55.5593
000035.mp4,clean,0,0.135256,0.729074,1.446745,51.6735
000035.mp4,h264_crf18,18,0.148996,0.683534,1.435802,48.2975
000035.mp4,h264_crf23,23,0.142898,0.713967,1.48574,50.7927
000035.mp4,h264_crf28,28,0.142904,0.731684,1.45607,51.695
000035.mp4,h264_crf33,33,0.143496,0.744878,1.389411,52.2487
000035.mp4,h264_crf38,38,0.167339,0.754325,1.325878,55.8527
000035.mp4,h264_crf43,43,0.220673,0.759467,1.466582,53.4924
000035.mp4,jpeg_q30,30,0.328106,0.941147,1.006126,54.301
000035.mp4,jpeg_q60,60,0.229139,0.922393,1.202129,52.8351
000035.mp4,jpeg_q90,90,0.153473,0.851024,1.381348,52.7482
000036.mp4,clean,0,0.135404,0.718929,1.717887,51.5905
000036.mp4,h264_crf18,18,0.147296,0.673689,1.739446,49.9006
000036.mp4,h264_crf23,23,0.148949,0.702786,1.718786,50.2468
000036.mp4,h264_crf28,28,0.144642,0.722776,1.78988,54.5856
000036.mp4,h264_crf33,33,0.146352,0.737085,1.60686,56.383
000036.mp4,h264_crf38,38,0.154287,0.745994,1.630467,56.009
000036.mp4,h264_crf43,43,0.194255,0.755879,1.453028,58.1315
000036.mp4,jpeg_q30,30,0.315689,0.938875,1.254034,52.8439
000036.mp4,jpeg_q60,60,0.222867,0.919503,1.536921,53.3288
000036.mp4,jpeg_q90,90,0.153321,0.845962,1.659173,52.4597
000037.mp4,clean,0,0.133905,0.722098,1.472857,53.611
000037.mp4,h264_crf18,18,0.140741,0.695113,1.522142,52.2604
000037.mp4,h264_crf23,23,0.137121,0.723832,1.401658,56.0485
000037.mp4,h264_crf28,28,0.135575,0.733817,1.456122,57.174
000037.mp4,h264_crf33,33,0.144575,0.734315,1.500525,57.381
000037.mp4,h264_crf38,38,0.149388,0.746313,1.419268,56.9611
000037.mp4,h264_crf43,43,0.197328,0.754903,1.803964,54.7643
000037.mp4,jpeg_q30,30,0.316572,0.940091,1.08333,58.0934
000037.mp4,jpeg_q60,60,0.222948,0.920041,1.234448,56.1154
000037.mp4,jpeg_q90,90,0.154087,0.848294,1.44519,55.1413
000038.mp4,clean,0,0.142348,0.709682,1.763563,52.7668
000038.mp4,h264_crf18,18,0.144075,0.689055,1.624719,54.1603
000038.mp4,h264_crf23,23,0.145453,0.719408,1.656958,55.6154
000038.mp4,h264_crf28,28,0.143749,0.731007,1.593275,57.5168
000038.mp4,h264_crf33,33,0.148096,0.737783,1.494701,57.7404
000038.mp4,h264_crf38,38,0.153272,0.748007,1.501942,57.6769
000038.mp4,h264_crf43,43,0.177492,0.765924,1.588815,55.1013
000038.mp4,jpeg_q30,30,0.330475,0.938198,1.236845,56.2023
000038.mp4,jpeg_q60,60,0.2341,0.919782,1.46797,53.5065
000038.mp4,jpeg_q90,90,0.16376,0.845703,1.669648,54.4133
000039.mp4,clean,0,0.13487,0.720803,1.580521,54.5026
000039.mp4,h264_crf18,18,0.139715,0.691904,1.586691,53.0964
000039.mp4,h264_crf23,23,0.143782,0.717893,1.587419,55.2531
000039.mp4,h264_crf28,28,0.149346,0.734754,1.493673,56.3039
000039.mp4,h264_crf33,33,0.146515,0.74135,1.348088,57.2985
000039.mp4,h264_crf38,38,0.149292,0.74711,1.572569,56.2907
000039.mp4,h264_crf43,43,0.178972,0.758689,1.488739,56.3156
000039.mp4,jpeg_q30,30,0.319891,0.939513,1.127815,56.9357
000039.mp4,jpeg_q60,60,0.225248,0.920898,1.470313,56.4699
000039.mp4,jpeg_q90,90,0.154917,0.847696,1.462746,57.0754
000040.mp4,clean,0,0.137471,0.71032,1.682598,51.2883
000040.mp4,h264_crf18,18,0.139084,0.674306,1.653464,47.7238
000040.mp4,h264_crf23,23,0.139194,0.704321,1.714642,50.5666
000040.mp4,h264_crf28,28,0.136144,0.724908,1.638216,52.1462
000040.mp4,h264_crf33,33,0.140216,0.73872,1.611982,56.7321
000040.mp4,h264_crf38,38,0.145479,0.754046,1.242228,55.362
